Treatment	Sample	Organism	Bin_Prefixed	Bin	Relative_Abundance	classification	domain	completeness	contamination	n50	size
carR	carR_5	Symbiont	carR_binette_bin2	binette_bin2	17.25397	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	99.32	2.73	29832	9018450
carR	carR_5	Symbiont	carR_binette_bin3	binette_bin3	81.053523	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp036924515	Bacteria	85.93	0.02	12938	6319716
carR	carR_5	Endophyte	carR_binette_bin4	binette_bin4	0.00498	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Piscinibacter;s__	Bacteria	82.79	0.76	2227	4283448
carR	carR_5	Endophyte	carR_binette_bin5	binette_bin5	0.310601	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp000263355	Bacteria	85.64	7.41	1939	9364715
carR	carR_5	Endophyte	carR_binette_bin6	binette_bin6	0.203779	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__	Bacteria	77.25	3.92	2658	4419089
carR	carR_5	Endophyte	carR_binette_bin7	binette_bin7	0.17229	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium;s__Allorhizobium sp002855515	Bacteria	54.14	7.51	1417	3281792
carR	carR_5	Endophyte	carR_binette_bin8	binette_bin8	0.161396	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus;s__	Bacteria	51.26	7.04	2115	1700679
carR	carR_5	Endophyte	carR_binette_bin9	binette_bin9	0.17011	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus;s__	Bacteria	51.72	8.56	1226	1543179
carR	carR_9	Endophyte	carR_binette_bin1	binette_bin1	2.259501	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	100	0.02	126067	3555749
carR	carR_9	Symbiont	carR_binette_bin2	binette_bin2	40.835375	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	99.32	2.73	29832	9018450
carR	carR_9	Symbiont	carR_binette_bin3	binette_bin3	55.154859	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp036924515	Bacteria	85.93	0.02	12938	6319716
carR	carR_9	Endophyte	carR_binette_bin4	binette_bin4	0.377485	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Piscinibacter;s__	Bacteria	82.79	0.76	2227	4283448
carR	carR_9	Endophyte	carR_binette_bin5	binette_bin5	0.70396	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp000263355	Bacteria	85.64	7.41	1939	9364715
carR	carR_9	Endophyte	carR_binette_bin6	binette_bin6	0.174875	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__	Bacteria	77.25	3.92	2658	4419089
